count(),inactive_period,%,%cumulative
9934198,0,,
125265367,1,0.786774048,0.786774048
14911728,2,0.093658454,0.880432502
5940721,3,0.037312828,0.91774533
3137642,4,0.019707086,0.937452416
1931262,5,0.012129983,0.949582399
1328715,6,0.008345471,0.95792787
979202,7,0.006150229,0.964078099
691166,8,0.004341116,0.968419215
536203,9,0.003367815,0.97178703
437182,10,0.002745878,0.974532909
361525,11,0.002270687,0.976803596
306582,12,0.001925598,0.978729194
267756,13,0.001681738,0.980410932
238017,14,0.001494951,0.981905883
198290,15,0.001245431,0.983151314
172597,16,0.001084057,0.984235372
153660,17,0.000965117,0.985200488
138299,18,0.000868636,0.986069125
126081,19,0.000791897,0.986861022
116399,20,0.000731086,0.987592107
108981,21,0.000684494,0.988276602
94954,22,0.000596393,0.988872994
86190,23,0.000541347,0.989414342
79918,24,0.000501954,0.989916295
73790,25,0.000463465,0.99037976
69062,26,0.000433769,0.990813528
65018,27,0.000408369,0.991221897
62590,28,0.000393119,0.991615016
55764,29,0.000350246,0.991965262
52250,30,0.000328175,0.992293437
49074,31,0.000308227,0.992601664
45405,32,0.000285182,0.992886846
43141,33,0.000270963,0.993157809
41226,34,0.000258935,0.993416743
39917,35,0.000250713,0.993667456
36547,36,0.000229547,0.993897003
34158,37,0.000214542,0.994111544
32535,38,0.000204348,0.994315892
30854,39,0.00019379,0.994509682
29693,40,0.000186498,0.994696179
28472,41,0.000178829,0.994875008
27691,42,0.000173923,0.995048931
25595,43,0.000160759,0.99520969
24070,44,0.00015118,0.99536087
23045,45,0.000144742,0.995505612
22079,46,0.000138675,0.995644287
21392,47,0.00013436,0.995778648
20938,48,0.000131509,0.995910156
20275,49,0.000127344,0.996037501
19211,50,0.000120662,0.996158162
18172,51,0.000114136,0.996272298
17181,52,0.000107911,0.996380209
16619,53,0.000104382,0.996484591
16120,54,0.000101247,0.996585838
15669,55,9.84148E-05,0.996684253
15363,56,9.64928E-05,0.996780746
14503,57,9.10913E-05,0.996871837
13636,58,8.56458E-05,0.996957483
13450,59,8.44775E-05,0.997041961
12797,60,8.03761E-05,0.997122337
12686,61,7.9679E-05,0.997202016
12173,62,7.64569E-05,0.997278473
12012,63,7.54457E-05,0.997353918
11272,64,7.07978E-05,0.997424716
10897,65,6.84425E-05,0.997493159
10340,66,6.49441E-05,0.997558103
10185,67,6.39705E-05,0.997622073
10008,68,6.28588E-05,0.997684932
9792,69,6.15022E-05,0.997746434
9564,70,6.00701E-05,0.997806504
9113,71,5.72375E-05,0.997863742
8640,72,5.42666E-05,0.997918008
8464,73,5.31612E-05,0.99797117
8135,74,5.10948E-05,0.998022264
7861,75,4.93738E-05,0.998071638
7999,76,5.02406E-05,0.998121879
7599,77,4.77282E-05,0.998169607
7292,78,4.58E-05,0.998215407
7100,79,4.45941E-05,0.998260001
7005,80,4.39974E-05,0.998303999
6643,81,4.17237E-05,0.998345722
6457,82,4.05555E-05,0.998386278
6279,83,3.94375E-05,0.998425715
6311,84,3.96385E-05,0.998465354
5904,85,3.70822E-05,0.998502436
5774,86,3.62657E-05,0.998538702
5749,87,3.61087E-05,0.99857481
5329,88,3.34707E-05,0.998608281
5505,89,3.45761E-05,0.998642857
5190,90,3.25977E-05,0.998675455
5060,91,3.17811E-05,0.998707236
4925,92,3.09332E-05,0.998738169
4832,93,3.03491E-05,0.998768518
4602,94,2.89045E-05,0.998797423
4514,95,2.83518E-05,0.998825775
4510,96,2.83267E-05,0.998854101
4348,97,2.73092E-05,0.998881411
4309,98,2.70642E-05,0.998908475
4201,99,2.63859E-05,0.998934861
4009,100,2.518E-05,0.998960041
3900,101,2.44953E-05,0.998984536
3800,102,2.38673E-05,0.999008403
3757,103,2.35972E-05,0.999032
3866,104,2.42818E-05,0.999056282
3688,105,2.31638E-05,0.999079446
3485,106,2.18888E-05,0.999101335
3442,107,2.16187E-05,0.999122953
3249,108,2.04065E-05,0.99914336
3183,109,1.9992E-05,0.999163352
3149,110,1.97784E-05,0.99918313
3036,111,1.90687E-05,0.999202199
3142,112,1.97345E-05,0.999221934
2933,113,1.84218E-05,0.999240355
2907,114,1.82585E-05,0.999258614
2949,115,1.85223E-05,0.999277136
2774,116,1.74231E-05,0.999294559
2794,117,1.75487E-05,0.999312108
2735,118,1.71781E-05,0.999329286
2595,119,1.62988E-05,0.999345585
2559,120,1.60727E-05,0.999361658
2496,121,1.5677E-05,0.999377335
2374,122,1.49108E-05,0.999392245
2363,123,1.48417E-05,0.999407087
2240,124,1.40691E-05,0.999421156
2225,125,1.39749E-05,0.999435131
2192,126,1.37676E-05,0.999448899
2163,127,1.35855E-05,0.999462484
2038,128,1.28004E-05,0.999475285
2070,129,1.30014E-05,0.999488286
2072,130,1.30139E-05,0.9995013
1913,131,1.20153E-05,0.999513315
1894,132,1.18959E-05,0.999525211
1901,133,1.19399E-05,0.999537151
1738,134,1.09161E-05,0.999548067
1790,135,1.12427E-05,0.99955931
1727,136,1.0847E-05,0.999570157
1694,137,1.06398E-05,0.999580797
1690,138,1.06147E-05,0.999591411
1605,139,1.00808E-05,0.999601492
1618,140,1.01624E-05,0.999611655
1557,141,9.7793E-06,0.999621434
1607,142,1.00933E-05,0.999631527
1516,143,9.52178E-06,0.999641049
1478,144,9.28311E-06,0.999650332
1420,145,8.91882E-06,0.999659251
1450,146,9.10724E-06,0.999668358
1401,147,8.79948E-06,0.999677158
1319,148,8.28445E-06,0.999685442
1240,149,7.78826E-06,0.99969323
1220,150,7.66265E-06,0.999700893
1224,151,7.68777E-06,0.999708581
1230,152,7.72546E-06,0.999716306
1261,153,7.92016E-06,0.999724226
1209,154,7.59356E-06,0.99973182
1148,155,7.21043E-06,0.99973903
1095,156,6.87754E-06,0.999745908
1072,157,6.73308E-06,0.999752641
1054,158,6.62002E-06,0.999759261
1072,159,6.73308E-06,0.999765994
1053,160,6.61374E-06,0.999772608
1073,161,6.73936E-06,0.999779347
961,162,6.03591E-06,0.999785383
939,163,5.89773E-06,0.999791281
906,164,5.69046E-06,0.999796971
841,165,5.2822E-06,0.999802253
883,166,5.546E-06,0.999807799
887,167,5.57112E-06,0.999813371
845,168,5.30733E-06,0.999818678
808,169,5.07493E-06,0.999823753
813,170,5.10634E-06,0.999828859
833,171,5.23196E-06,0.999834091
754,172,4.73577E-06,0.999838827
716,173,4.49709E-06,0.999843324
778,174,4.88651E-06,0.99984821
767,175,4.81742E-06,0.999853028
748,176,4.69808E-06,0.999857726
699,177,4.39032E-06,0.999862116
682,178,4.28355E-06,0.9998664
723,179,4.54106E-06,0.999870941
661,180,4.15165E-06,0.999875093
601,181,3.7748E-06,0.999878867
658,182,4.1328E-06,0.999883
636,183,3.99463E-06,0.999886995
564,184,3.5424E-06,0.999890537
576,185,3.61777E-06,0.999894155
569,186,3.57381E-06,0.999897729
565,187,3.54869E-06,0.999901277
533,188,3.3477E-06,0.999904625
503,189,3.15927E-06,0.999907784
546,190,3.42935E-06,0.999911214
554,191,3.4796E-06,0.999914693
478,192,3.00225E-06,0.999917696
437,193,2.74474E-06,0.99992044
446,194,2.80126E-06,0.999923242
470,195,2.952E-06,0.999926194
477,196,2.99597E-06,0.99992919
425,197,2.66936E-06,0.999931859
419,198,2.63168E-06,0.999934491
365,199,2.29251E-06,0.999936783
385,200,2.41813E-06,0.999939201
394,201,2.47466E-06,0.999941676
377,202,2.36788E-06,0.999944044
379,203,2.38045E-06,0.999946424
338,204,2.12293E-06,0.999948547
346,205,2.17318E-06,0.99995072
325,206,2.04128E-06,0.999952762
312,207,1.95963E-06,0.999954721
297,208,1.86541E-06,0.999956587
299,209,1.87798E-06,0.999958465
296,210,1.85913E-06,0.999960324
297,211,1.86541E-06,0.999962189
309,212,1.94079E-06,0.99996413
257,213,1.61418E-06,0.999965744
253,214,1.58906E-06,0.999967333
246,215,1.54509E-06,0.999968878
239,216,1.50113E-06,0.999970379
245,217,1.53881E-06,0.999971918
241,218,1.51369E-06,0.999973432
245,219,1.53881E-06,0.999974971
202,220,1.26873E-06,0.99997624
218,221,1.36923E-06,0.999977609
197,222,1.23733E-06,0.999978846
180,223,1.13055E-06,0.999979977
207,224,1.30014E-06,0.999981277
157,225,9.86095E-07,0.999982263
187,226,1.17452E-06,0.999983437
163,227,1.02378E-06,0.999984461
170,228,1.06775E-06,0.999985529
146,229,9.17005E-07,0.999986446
157,230,9.86095E-07,0.999987432
144,231,9.04444E-07,0.999988336
125,232,7.85107E-07,0.999989122
131,233,8.22792E-07,0.999989944
123,234,7.72546E-07,0.999990717
134,235,8.41635E-07,0.999991559
109,236,6.84614E-07,0.999992243
101,237,6.34367E-07,0.999992878
109,238,6.84614E-07,0.999993562
90,239,5.65277E-07,0.999994127
102,240,6.40648E-07,0.999994768
79,241,4.96188E-07,0.999995264
57,242,3.58009E-07,0.999995622
85,243,5.33873E-07,0.999996156
77,244,4.83626E-07,0.99999664
73,245,4.58503E-07,0.999997098
44,246,2.76358E-07,0.999997375
59,247,3.70571E-07,0.999997745
55,248,3.45447E-07,0.999998091
54,249,3.39166E-07,0.99999843
45,250,2.82639E-07,0.999998712
46,251,2.88919E-07,0.999999001
27,252,1.69583E-07,0.999999171
33,253,2.07268E-07,0.999999378
21,254,1.31898E-07,0.99999951
19,255,1.19336E-07,0.999999629
23,256,1.4446E-07,0.999999774
15,257,9.42129E-08,0.999999868
14,258,8.7932E-08,0.999999956
4,259,2.51234E-08,0.999999981
3,260,1.88426E-08,1
